upkb_accession,gene_age,age_bin
Q6N069,1714,>1000
Q6NSI4,645,500-1000
Q6NSI8,987,500-1000
Q6NSZ9,132,100-500
Q6NT32,132,100-500
Q6NT76,810,500-1000
Q6NTE8,645,500-1000
Q6NTF7,544,500-1000
Q6NTF9,544,500-1000
Q6NUI2,886,500-1000
Q6NUN9,382,100-500
Q6NUS6,680,500-1000
Q6NUT3,987,500-1000
Q6NWY9,1488,>1000
Q6NXG1,382,100-500
Q6NXT4,987,500-1000
Q6NYC1,987,500-1000
Q6NYC8,454,100-500
Q6NZ36,8,<100
Q6NZI2,645,500-1000
Q6P087,645,500-1000
Q6P158,680,500-1000
Q6P179,950,500-1000
Q6P1J6,680,500-1000
Q6P1K2,454,100-500
Q6P1L6,78,<100
Q6P1M3,1064,>1000
Q6P1Q0,1714,>1000
Q6P1R3,544,500-1000
Q6P2C8,950,500-1000
Q6P2D8,987,500-1000
Q6P2H3,680,500-1000
Q6P2M8,382,100-500
Q6P3S1,680,500-1000
Q6P461,86,<100
Q6P499,1292,>1000
Q6P4A7,544,500-1000
Q6P4D5,645,500-1000
Q6P4E1,645,500-1000
Q6P4F1,886,500-1000
Q6P4F7,645,500-1000
Q6P4R8,645,500-1000
Q6P587,1488,>1000
Q6P597,168,100-500
Q6P5Q4,680,500-1000
Q6P5X7,544,500-1000
Q6P6C2,645,500-1000
Q6P996,645,500-1000
Q6P9F0,544,500-1000
Q6P9G9,132,100-500
Q6P9H5,168,100-500
Q6PCB0,544,500-1000
Q6PCT2,1714,>1000
Q6PDA7,101,100-500
Q6PEZ8,454,100-500
Q6PF05,645,500-1000
Q6PF06,987,500-1000
Q6PFW1,4300,>1000
Q6PGN9,544,500-1000
Q6PHR2,1714,>1000
Q6PHW0,544,500-1000
Q6PI47,886,500-1000
Q6PI97,168,100-500
Q6PI98,645,500-1000
Q6PII5,454,100-500
Q6PIJ6,645,500-1000
Q6PIL6,886,500-1000
Q6PIS1,645,500-1000
Q6PIU2,1488,>1000
Q6PJG6,544,500-1000
Q6PJI9,1488,>1000
Q6PJT7,987,500-1000
Q6PJW8,454,100-500
Q6PKC3,886,500-1000
Q6Q4G3,950,500-1000
Q6Q6R5,680,500-1000
Q6QEF8,424,100-500
Q6QHF9,1714,>1000
Q6QNK2,987,500-1000
Q6R327,1714,>1000
Q6RI45,645,500-1000
Q6RW13,680,500-1000
Q6S5H5,55,<100
Q6S8J3,55,<100
Q6SA08,454,100-500
Q6T4P5,987,500-1000
Q6T4R5,645,500-1000
Q6TCH4,1714,>1000
Q6TCH7,1292,>1000
Q6TDU7,987,500-1000
Q6TFL3,645,500-1000
Q6U841,987,500-1000
Q6ULP2,680,500-1000
Q6UN15,78,<100
Q6UUV9,645,500-1000
Q6UVM3,544,500-1000
Q6UW56,544,500-1000
Q6UW88,454,100-500
Q6UWE0,950,500-1000
Q6UWF3,168,100-500
Q6UWH4,645,500-1000
Q6UWJ1,680,500-1000
Q6UWL2,544,500-1000
Q6UWL6,810,500-1000
Q6UWP2,3,<100
Q6UWP7,1488,>1000
Q6UWU4,332,100-500
Q6UWV2,454,100-500
Q6UX01,680,500-1000
Q6UX07,544,500-1000
Q6UX15,645,500-1000
Q6UX27,382,100-500
Q6UX40,680,500-1000
Q6UX41,55,<100
Q6UX71,645,500-1000
Q6UXB0,645,500-1000
Q6UXC1,544,500-1000
Q6UXD5,454,100-500
Q6UXD7,987,500-1000
Q6UXG2,950,500-1000
Q6UXG3,168,100-500
Q6UXG8,244,100-500
Q6UXH1,680,500-1000
Q6UXH8,544,500-1000
Q6UXH9,680,500-1000
Q6UXI7,645,500-1000
Q6UXI9,680,500-1000
Q6UXS9,886,500-1000
Q6UXU4,382,100-500
Q6UXX9,645,500-1000
Q6UXY8,680,500-1000
Q6UY01,544,500-1000
Q6UY09,244,100-500
Q6UY14,454,100-500
Q6V0I7,645,500-1000
Q6V1X1,4300,>1000
Q6V702,987,500-1000
Q6VMQ6,950,500-1000
Q6VN20,1488,>1000
Q6W2J9,886,500-1000
Q6W5P4,645,500-1000
Q6WBX8,1714,>1000
Q6WCQ1,810,500-1000
Q6WKZ4,680,500-1000
Q6WN34,950,500-1000
Q6WRI0,987,500-1000
Q6X4W1,645,500-1000
Q6X9E4,1714,>1000
Q6XE24,645,500-1000
Q6XPS3,950,500-1000
Q6XQN6,4300,>1000
Q6XR72,4300,>1000
Q6XUX3,987,500-1000
Q6XZB0,168,100-500
Q6Y7W6,987,500-1000
Q6YHK3,950,500-1000
Q6YHU6,1714,>1000
Q6YI46,1488,>1000
Q6YP21,4300,>1000
Q6ZMB0,950,500-1000
Q6ZMI0,1064,>1000
Q6ZMJ2,645,500-1000
Q6ZMN7,810,500-1000
Q6ZMN8,4300,>1000
Q6ZMP0,645,500-1000
Q6ZMQ8,645,500-1000
Q6ZMV9,987,500-1000
Q6ZMY3,244,100-500
Q6ZMZ0,1488,>1000
Q6ZMZ3,544,500-1000
Q6ZN01,168,100-500
Q6ZN11,645,500-1000
Q6ZN16,645,500-1000
Q6ZN18,454,100-500
Q6ZN19,55,<100
Q6ZN44,886,500-1000
Q6ZN54,1064,>1000
Q6ZN84,987,500-1000
Q6ZNA4,645,500-1000
Q6ZNC8,1488,>1000
Q6ZNJ1,1064,>1000
Q6ZNR0,78,<100
Q6ZP29,645,500-1000
Q6ZP80,645,500-1000
Q6ZQX7,101,100-500
Q6ZR08,987,500-1000
Q6ZR37,987,500-1000
Q6ZR52,36,<100
Q6ZRF8,544,500-1000
Q6ZRI6,424,100-500
Q6ZRI8,168,100-500
Q6ZRR5,987,500-1000
Q6ZRS2,1488,>1000
Q6ZRS4,382,100-500
Q6ZS10,382,100-500
Q6ZS17,886,500-1000
Q6ZS27,86,<100
Q6ZS81,1488,>1000
Q6ZS86,1488,>1000
Q6ZSB9,645,500-1000
Q6ZSJ9,544,500-1000
Q6ZSZ5,987,500-1000
Q6ZT12,950,500-1000
Q6ZT89,1714,>1000
Q6ZT98,987,500-1000
Q6ZTN6,454,100-500
Q6ZTQ3,987,500-1000
Q6ZTR5,244,100-500
Q6ZU64,987,500-1000
Q6ZU67,454,100-500
Q6ZU80,680,500-1000
Q6ZUJ8,680,500-1000
Q6ZUM4,1064,>1000
Q6ZUS6,950,500-1000
Q6ZUT1,132,100-500
Q6ZUT6,544,500-1000
Q6ZUT9,680,500-1000
Q6ZUX3,1488,>1000
Q6ZV29,680,500-1000
Q6ZV50,680,500-1000
Q6ZV65,1488,>1000
Q6ZVD7,645,500-1000
Q6ZVD8,544,500-1000
Q6ZVH7,645,500-1000
Q6ZVM7,1292,>1000
Q6ZVN8,950,500-1000
Q6ZVT0,680,500-1000
Q6ZW05,1488,>1000
Q6ZW49,1488,>1000
Q6ZWE6,987,500-1000
Q6ZWH5,987,500-1000
Q6ZWJ8,680,500-1000
Q702N8,544,500-1000
Q709C8,645,500-1000
Q709F0,1488,>1000
Q70CQ2,645,500-1000
Q70E73,987,500-1000
Q70EL1,680,500-1000
Q70EL2,645,500-1000
Q70EL4,544,500-1000
Q70HW3,987,500-1000
Q70IA6,1292,>1000
Q70J99,645,500-1000
Q70SY1,1292,>1000
Q70UQ0,544,500-1000
Q70YC5,987,500-1000
Q70Z35,680,500-1000
Q70Z44,168,100-500
Q70Z53,1488,>1000
Q71F23,544,500-1000
Q71RC2,950,500-1000
Q71RG4,680,500-1000
Q71SY5,645,500-1000
Q71UI9,645,500-1000
Q75T13,1488,>1000
Q75VX8,680,500-1000
Q76FK4,645,500-1000
Q76I76,645,500-1000
Q76LX8,544,500-1000
Q76M96,168,100-500
Q7KYR7,78,<100
Q7KZ85,1714,>1000
Q7KZI7,544,500-1000
Q7L099,1292,>1000
Q7L0X2,950,500-1000
Q7L1Q6,544,500-1000
Q7L2E3,645,500-1000
Q7L2K0,645,500-1000
Q7L2R6,55,<100
Q7L4E1,886,500-1000
Q7L513,382,100-500
Q7L576,1064,>1000
Q7L591,332,100-500
Q7L5A3,544,500-1000
Q7L5Y1,987,500-1000
Q7L5Y9,1488,>1000
Q7L7X3,4300,>1000
Q7LBC6,987,500-1000
Q7LDG7,454,100-500
Q7LG56,4300,>1000
Q7LGA3,680,500-1000
Q7RTN6,645,500-1000
Q7RTP6,950,500-1000
Q7RTR2,544,500-1000
Q7RTW8,680,500-1000
Q7RTX1,544,500-1000
Q7RTY8,950,500-1000
Q7Z2D5,987,500-1000
Q7Z2E3,680,500-1000
Q7Z2G1,645,500-1000
Q7Z2H8,4300,>1000
Q7Z2W4,424,100-500
Q7Z2W7,424,100-500
Q7Z2X4,645,500-1000
Q7Z2Y5,132,100-500
Q7Z309,645,500-1000
Q7Z333,1488,>1000
Q7Z340,244,100-500
Q7Z392,1488,>1000
Q7Z3B3,987,500-1000
Q7Z3B4,645,500-1000
Q7Z3C6,1714,>1000
Q7Z3D4,680,500-1000
Q7Z3D6,987,500-1000
Q7Z3K3,424,100-500
Q7Z3K6,950,500-1000
Q7Z3Q1,645,500-1000
Q7Z3S7,987,500-1000
Q7Z3S9,25,<100
Q7Z3U7,645,500-1000
Q7Z3V4,1488,>1000
Q7Z3Z4,645,500-1000
Q7Z403,680,500-1000
Q7Z404,3,<100
Q7Z406,382,100-500
Q7Z407,645,500-1000
Q7Z408,544,500-1000
Q7Z422,680,500-1000
Q7Z434,544,500-1000
Q7Z442,1064,>1000
Q7Z460,810,500-1000
Q7Z465,454,100-500
Q7Z494,950,500-1000
Q7Z4G4,4300,>1000
Q7Z4H3,1488,>1000
Q7Z4H7,680,500-1000
Q7Z4H8,987,500-1000
Q7Z4I7,987,500-1000
Q7Z4K8,454,100-500
Q7Z4N2,950,500-1000
Q7Z4N8,1064,>1000
Q7Z4Q2,645,500-1000
Q7Z4S6,1714,>1000
Q7Z4T9,987,500-1000
Q7Z4V0,544,500-1000
Q7Z4V5,886,500-1000
Q7Z553,645,500-1000
Q7Z589,987,500-1000
Q7Z591,680,500-1000
Q7Z5A7,645,500-1000
Q7Z5B4,680,500-1000
Q7Z5H3,987,500-1000
Q7Z5J1,78,<100
Q7Z5J4,987,500-1000
Q7Z5J8,987,500-1000
Q7Z5K2,987,500-1000
Q7Z5L0,454,100-500
Q7Z5L2,810,500-1000
Q7Z5L7,544,500-1000
Q7Z5L9,886,500-1000
Q7Z5M8,4300,>1000
Q7Z5N4,645,500-1000
Q7Z5Q1,454,100-500
Q7Z5Y7,987,500-1000
Q7Z614,544,500-1000
Q7Z692,645,500-1000
Q7Z6B0,544,500-1000
Q7Z6E9,454,100-500
Q7Z6G8,645,500-1000
Q7Z6I6,454,100-500
Q7Z6J4,1488,>1000
Q7Z6L0,454,100-500
Q7Z6L1,645,500-1000
Q7Z6M3,544,500-1000
Q7Z6Z7,1714,>1000
Q7Z736,645,500-1000
Q7Z7A1,950,500-1000
Q7Z7A4,1064,>1000
Q7Z7B0,680,500-1000
Q7Z7C8,987,500-1000
Q7Z7D3,454,100-500
Q7Z7F0,1292,>1000
Q7Z7G0,645,500-1000
Q7Z7G1,168,100-500
Q7Z7G8,645,500-1000
Q7Z7H5,1292,>1000
Q7Z7K6,1064,>1000
Q7Z7L9,244,100-500
Q86SE5,645,500-1000
Q86SQ0,886,500-1000
Q86SQ4,645,500-1000
Q86SQ6,645,500-1000
Q86SQ7,132,100-500
Q86SQ9,645,500-1000
Q86SR1,987,500-1000
Q86SU0,645,500-1000
Q86SX3,454,100-500
Q86T03,454,100-500
Q86T90,424,100-500
Q86T96,680,500-1000
Q86TB9,1488,>1000
Q86TD4,680,500-1000
Q86TE4,544,500-1000
Q86TG7,101,100-500
Q86TI2,4300,>1000
Q86TI4,1488,>1000
Q86TJ2,4300,>1000
Q86TM6,645,500-1000
Q86TN4,1488,>1000
Q86TP1,950,500-1000
Q86TS9,454,100-500
Q86TU7,886,500-1000
Q86TW2,1488,>1000
Q86TY3,544,500-1000
Q86U06,382,100-500
Q86U70,950,500-1000
Q86U86,1292,>1000
Q86UA6,987,500-1000
Q86UD7,55,<100
Q86UE8,987,500-1000
Q86UG4,680,500-1000
Q86UK5,544,500-1000
Q86UN6,950,500-1000
Q86UP0,454,100-500
Q86UP2,544,500-1000
Q86UP3,680,500-1000
Q86UP6,244,100-500
Q86UP8,132,100-500
Q86UQ0,70,<100
Q86UQ4,1064,>1000
Q86UR1,680,500-1000
Q86UR5,950,500-1000
Q86US8,987,500-1000
Q86UT5,680,500-1000
Q86UU0,680,500-1000
Q86UU1,680,500-1000
Q86UU5,132,100-500
Q86UU9,132,100-500
Q86UV5,1714,>1000
Q86UW7,987,500-1000
Q86UY5,544,500-1000
Q86UY6,645,500-1000
Q86V21,1292,>1000
Q86V25,987,500-1000
Q86V42,950,500-1000
Q86V48,680,500-1000
Q86V88,244,100-500
Q86VB7,987,500-1000
Q86VE9,1714,>1000
Q86VF2,332,100-500
Q86VF5,382,100-500
Q86VF7,886,500-1000
Q86VH2,645,500-1000
Q86VK4,544,500-1000
Q86VL8,645,500-1000
Q86VP1,950,500-1000
Q86VP3,950,500-1000
Q86VP6,1488,>1000
Q86VQ3,132,100-500
Q86VS3,987,500-1000
Q86VV4,454,100-500
Q86VV8,645,500-1000
Q86VW1,1488,>1000
Q86VW2,454,100-500
Q86VX9,1714,>1000
Q86W33,987,500-1000
Q86W42,987,500-1000
Q86W56,1488,>1000
Q86W92,950,500-1000
Q86WB0,680,500-1000
Q86WD7,101,100-500
Q86WI0,544,500-1000
Q86WI3,544,500-1000
Q86WJ1,645,500-1000
Q86WN1,987,500-1000
Q86WP2,645,500-1000
Q86WS4,132,100-500
Q86WT6,382,100-500
Q86X10,987,500-1000
Q86X24,987,500-1000
Q86X27,1488,>1000
Q86X29,454,100-500
Q86X40,544,500-1000
Q86X55,1714,>1000
Q86X67,645,500-1000
Q86X76,886,500-1000
Q86XA9,1488,>1000
Q86XD5,454,100-500
Q86XH1,987,500-1000
Q86XK2,886,500-1000
Q86XK3,680,500-1000
Q86XL3,987,500-1000
Q86XN8,987,500-1000
Q86XP1,680,500-1000
Q86XR2,680,500-1000
Q86XR8,987,500-1000
Q86XW9,244,100-500
Q86XX4,382,100-500
Q86Y07,4300,>1000
Q86Y26,244,100-500
Q86Y33,1064,>1000
Q86Y37,1714,>1000
Q86Y56,987,500-1000
Q86YA3,168,100-500
Q86YD1,132,100-500
Q86YD3,454,100-500
Q86YE8,93,<100
Q86YF9,680,500-1000
Q86YJ6,1292,>1000
Q86YL7,132,100-500
Q86YM7,544,500-1000
Q86YN6,645,500-1000
Q86YP4,950,500-1000
Q86YR5,950,500-1000
Q86YR7,645,500-1000
Q86YS7,645,500-1000
Q86YT5,454,100-500
Q86YT9,36,<100
Q86YW0,1714,>1000
Q86YW5,244,100-500
Q86YW9,680,500-1000
Q86Z02,680,500-1000
Q8IU57,382,100-500
Q8IU80,950,500-1000
Q8IUA7,244,100-500
Q8IUC8,950,500-1000
Q8IUD2,810,500-1000
Q8IUD6,132,100-500
Q8IUF8,680,500-1000
Q8IUG5,645,500-1000
Q8IUH3,645,500-1000
Q8IUH4,1292,>1000
Q8IUH5,1292,>1000
Q8IUK5,645,500-1000
Q8IUN9,132,100-500
Q8IUQ4,645,500-1000
Q8IUR5,886,500-1000
Q8IUR6,645,500-1000
Q8IUR7,1488,>1000
Q8IUX1,680,500-1000
Q8IUX4,78,<100
Q8IUZ0,987,500-1000
Q8IUZ5,544,500-1000
Q8IV33,3,<100
Q8IV35,1714,>1000
Q8IV36,1488,>1000
Q8IV63,4300,>1000
Q8IVE3,645,500-1000
Q8IVF2,18,<100
Q8IVF5,645,500-1000
Q8IVF7,1064,>1000
Q8IVH2,544,500-1000
Q8IVH8,4300,>1000
Q8IVI9,886,500-1000
Q8IVL0,680,500-1000
Q8IVL1,810,500-1000
Q8IVS8,987,500-1000
Q8IVT5,645,500-1000
Q8IVU3,424,100-500
Q8IVV2,950,500-1000
Q8IVW1,244,100-500
Q8IVW6,680,500-1000
Q8IW36,78,<100
Q8IW45,4300,>1000
Q8IW50,680,500-1000
Q8IWA4,1292,>1000
Q8IWA5,680,500-1000
Q8IWB6,645,500-1000
Q8IWC1,454,100-500
Q8IWD4,544,500-1000
Q8IWF9,987,500-1000
Q8IWK6,1064,>1000
Q8IWQ3,1292,>1000
Q8IWS0,680,500-1000
Q8IWT0,1488,>1000
Q8IWT1,680,500-1000
Q8IWV1,244,100-500
Q8IWV2,645,500-1000
Q8IWV8,1714,>1000
Q8IWW6,645,500-1000
Q8IWW8,1488,>1000
Q8IWX7,1488,>1000
Q8IWY8,244,100-500
Q8IWZ3,886,500-1000
Q8IX01,544,500-1000
Q8IX04,1488,>1000
Q8IX18,544,500-1000
Q8IX21,645,500-1000
Q8IX90,544,500-1000
Q8IXB1,4300,>1000
Q8IXF0,950,500-1000
Q8IXH7,1064,>1000
Q8IXH8,544,500-1000
Q8IXI2,645,500-1000
Q8IXJ6,4300,>1000
Q8IXK0,987,500-1000
Q8IXM2,950,500-1000
Q8IXM6,680,500-1000
Q8IXQ4,680,500-1000
Q8IXQ5,544,500-1000
Q8IXQ6,544,500-1000
Q8IXQ8,544,500-1000
Q8IXR5,244,100-500
Q8IXU6,4300,>1000
Q8IXY8,1064,>1000
Q8IXZ3,950,500-1000
Q8IY17,1292,>1000
Q8IY22,680,500-1000
Q8IY31,987,500-1000
Q8IY33,886,500-1000
Q8IY49,1714,>1000
Q8IY57,950,500-1000
Q8IYA6,680,500-1000
Q8IYA8,332,100-500
Q8IYB4,1488,>1000
Q8IYB5,645,500-1000
Q8IYB7,4300,>1000
Q8IYD8,1488,>1000
Q8IYF3,645,500-1000
Q8IYH5,1064,>1000
Q8IYL2,1488,>1000
Q8IYS5,382,100-500
Q8IYU2,1488,>1000
Q8IYV9,244,100-500
Q8IYW2,987,500-1000
Q8IYX3,168,100-500
Q8IZ21,987,500-1000
Q8IZ52,886,500-1000
Q8IZ83,4300,>1000
Q8IZ96,132,100-500
Q8IZA0,987,500-1000
Q8IZC4,645,500-1000
Q8IZC6,36,<100
Q8IZD2,680,500-1000
Q8IZF0,987,500-1000
Q8IZF2,645,500-1000
Q8IZF5,382,100-500
Q8IZF6,382,100-500
Q8IZH2,4300,>1000
Q8IZL9,987,500-1000
Q8IZP0,645,500-1000
Q8IZP9,645,500-1000
Q8IZQ8,645,500-1000
Q8IZR5,950,500-1000
Q8IZS8,987,500-1000
Q8N0S2,244,100-500
Q8N0S6,680,500-1000
Q8N0U4,645,500-1000
Q8N0U7,168,100-500
Q8N0V5,680,500-1000
Q8N0W5,950,500-1000
Q8N0X2,987,500-1000
Q8N103,544,500-1000
Q8N108,645,500-1000
Q8N114,680,500-1000
Q8N118,680,500-1000
Q8N122,4300,>1000
Q8N126,680,500-1000
Q8N137,332,100-500
Q8N139,244,100-500
Q8N149,168,100-500
Q8N157,1488,>1000
Q8N184,132,100-500
Q8N187,950,500-1000
Q8N1I0,1488,>1000
Q8N1K5,645,500-1000
Q8N1M1,544,500-1000
Q8N1V2,987,500-1000
Q8N1W1,987,500-1000
Q8N228,454,100-500
Q8N264,987,500-1000
Q8N271,987,500-1000
Q8N2C7,987,500-1000
Q8N2F6,544,500-1000
Q8N2G4,645,500-1000
Q8N2G8,645,500-1000
Q8N2H9,454,100-500
Q8N2I2,70,<100
Q8N2I9,987,500-1000
Q8N2K0,645,500-1000
Q8N2K1,1714,>1000
Q8N2M8,987,500-1000
Q8N2N9,55,<100
Q8N2R0,645,500-1000
Q8N2S1,454,100-500
Q8N2U9,1488,>1000
Q8N2Z9,1488,>1000
Q8N302,645,500-1000
Q8N309,950,500-1000
Q8N336,544,500-1000
Q8N370,680,500-1000
Q8N371,1488,>1000
Q8N3C0,1714,>1000
Q8N3C7,645,500-1000
Q8N3F0,645,500-1000
Q8N3G9,645,500-1000
Q8N3J3,645,500-1000
Q8N3J5,886,500-1000
Q8N3J6,680,500-1000
Q8N3P4,1488,>1000
Q8N3R3,645,500-1000
Q8N3S3,886,500-1000
Q8N3V7,645,500-1000
Q8N3X6,3,<100
Q8N3Z3,645,500-1000
Q8N413,454,100-500
Q8N423,168,100-500
Q8N443,987,500-1000
Q8N465,1714,>1000
Q8N475,950,500-1000
Q8N490,645,500-1000
Q8N4B1,645,500-1000
Q8N4C6,645,500-1000
Q8N4C8,1714,>1000
Q8N4F4,25,<100
Q8N4H0,544,500-1000
Q8N4H5,132,100-500
Q8N4M1,1488,>1000
Q8N4S7,886,500-1000
Q8N4S9,987,500-1000
Q8N4T0,1292,>1000
Q8N4T4,1488,>1000
Q8N4X5,680,500-1000
Q8N4Y2,950,500-1000
Q8N568,645,500-1000
Q8N573,645,500-1000
Q8N584,987,500-1000
Q8N5A5,987,500-1000
Q8N5C7,4300,>1000
Q8N5D0,1292,>1000
Q8N5D6,544,500-1000
Q8N5G2,987,500-1000
Q8N5H3,454,100-500
Q8N5H7,886,500-1000
Q8N5J2,645,500-1000
Q8N5R6,680,500-1000
Q8N5U1,950,500-1000
Q8N5V2,886,500-1000
Q8N5Y2,1488,>1000
Q8N5Y8,987,500-1000
Q8N608,4300,>1000
Q8N612,987,500-1000
Q8N684,645,500-1000
Q8N690,132,100-500
Q8N6C5,382,100-500
Q8N6C8,3,<100
Q8N6F1,680,500-1000
Q8N6F7,132,100-500
Q8N6G6,645,500-1000
Q8N6H7,454,100-500
Q8N6I4,645,500-1000
Q8N6K7,424,100-500
Q8N6M6,950,500-1000
Q8N6N3,544,500-1000
Q8N6Q3,101,100-500
Q8N6R0,987,500-1000
Q8N6S4,1488,>1000
Q8N6T0,244,100-500
Q8N6T3,1714,>1000
Q8N6U8,987,500-1000
Q8N6V4,544,500-1000
Q8N720,168,100-500
Q8N766,1714,>1000
Q8N7B6,645,500-1000
Q8N7H5,1488,>1000
Q8N7N1,4300,>1000
Q8N7P1,544,500-1000
Q8N7R7,1064,>1000
Q8N7U6,987,500-1000
Q8N7W2,244,100-500
Q8N7X2,168,100-500
Q8N819,101,100-500
Q8N841,424,100-500
Q8N8A2,987,500-1000
Q8N8E2,454,100-500
Q8N8F6,4300,>1000
Q8N8J6,78,<100
Q8N8K9,544,500-1000
Q8N8Q1,987,500-1000
Q8N8Q3,645,500-1000
Q8N8Q8,645,500-1000
Q8N8R3,1292,>1000
Q8N8S7,950,500-1000
Q8N8W4,382,100-500
Q8N945,544,500-1000
Q8N960,987,500-1000
Q8N983,1714,>1000
Q8N999,680,500-1000
Q8N9A8,987,500-1000
Q8N9F7,950,500-1000
Q8N9H8,55,<100
Q8N9I9,454,100-500
Q8N9L1,454,100-500
Q8N9M1,987,500-1000
Q8N9N5,645,500-1000
Q8N9W4,12,<100
Q8N9W5,987,500-1000
Q8N9W6,886,500-1000
Q8N9Z9,382,100-500
Q8NA29,680,500-1000
Q8NA31,680,500-1000
Q8NA72,244,100-500
Q8NAA4,454,100-500
Q8NAC3,680,500-1000
Q8NAU1,645,500-1000
Q8NB25,950,500-1000
Q8NB37,244,100-500
Q8NB49,4300,>1000
Q8NB50,132,100-500
Q8NB59,544,500-1000
Q8NB78,645,500-1000
Q8NB90,4300,>1000
Q8NBI6,950,500-1000
Q8NBJ7,12,<100
Q8NBK3,987,500-1000
Q8NBM4,1714,>1000
Q8NBN3,454,100-500
Q8NBS3,950,500-1000
Q8NBT0,1292,>1000
Q8NBW4,950,500-1000
Q8NBZ7,1488,>1000
Q8NC06,454,100-500
Q8NC51,950,500-1000
Q8NC67,645,500-1000
Q8NCB2,645,500-1000
Q8NCC5,78,<100
Q8NCD3,332,100-500
Q8NCE0,1488,>1000
Q8NCE2,950,500-1000
Q8NCF5,454,100-500
Q8NCG7,1488,>1000
Q8NCI6,987,500-1000
Q8NCL8,454,100-500
Q8NCM2,886,500-1000
Q8NCM8,987,500-1000
Q8NCP5,544,500-1000
Q8NCQ7,645,500-1000
Q8NCR6,332,100-500
Q8NCS7,1488,>1000
Q8NCT3,680,500-1000
Q8NCW0,382,100-500
Q8NCX0,645,500-1000
Q8ND04,950,500-1000
Q8ND23,454,100-500
Q8ND30,544,500-1000
Q8ND56,680,500-1000
Q8ND76,544,500-1000
Q8ND83,680,500-1000
Q8NDA2,382,100-500
Q8NDA8,645,500-1000
Q8NDB2,680,500-1000
Q8NDD1,680,500-1000
Q8NDF8,645,500-1000
Q8NDH3,987,500-1000
Q8NDI1,680,500-1000
Q8NDL9,987,500-1000
Q8NDM7,987,500-1000
Q8NDQ6,55,<100
Q8NDV7,645,500-1000
Q8NDW8,987,500-1000
Q8NDX5,886,500-1000
Q8NDZ2,645,500-1000
Q8NDZ6,987,500-1000
Q8NE01,4300,>1000
Q8NE09,1064,>1000
Q8NE18,987,500-1000
Q8NE28,544,500-1000
Q8NE31,987,500-1000
Q8NE86,1488,>1000
Q8NEB5,645,500-1000
Q8NEE6,1488,>1000
Q8NEL9,886,500-1000
Q8NEM0,987,500-1000
Q8NEM7,987,500-1000
Q8NEM8,645,500-1000
Q8NEP3,987,500-1000
Q8NEP7,4300,>1000
Q8NEP9,132,100-500
Q8NER5,987,500-1000
Q8NES3,810,500-1000
Q8NET8,680,500-1000
Q8NEU8,544,500-1000
Q8NEY1,950,500-1000
Q8NEY8,544,500-1000
Q8NEZ2,544,500-1000
Q8NEZ4,4300,>1000
Q8NEZ5,645,500-1000
Q8NF50,680,500-1000
Q8NF64,454,100-500
Q8NF91,645,500-1000
Q8NF99,132,100-500
Q8NFA2,987,500-1000
Q8NFD5,950,500-1000
Q8NFF2,680,500-1000
Q8NFF5,4300,>1000
Q8NFG4,1488,>1000
Q8NFH5,987,500-1000
Q8NFI3,454,100-500
Q8NFJ9,987,500-1000
Q8NFM7,645,500-1000
Q8NFP9,680,500-1000
Q8NFR7,544,500-1000
Q8NFR9,544,500-1000
Q8NFT2,544,500-1000
Q8NFT6,645,500-1000
Q8NFU3,544,500-1000
Q8NFU7,950,500-1000
Q8NFV4,1714,>1000
Q8NFW1,680,500-1000
Q8NFW9,645,500-1000
Q8NFX7,645,500-1000
Q8NFY4,987,500-1000
Q8NFZ3,8,<100
Q8NG11,454,100-500
Q8NG27,3,<100
Q8NG31,645,500-1000
Q8NG48,950,500-1000
Q8NG50,3,<100
Q8NG66,987,500-1000
Q8NHE4,950,500-1000
Q8NHH9,886,500-1000
Q8NHJ6,168,100-500
Q8NHL6,3,<100
Q8NHM5,645,500-1000
Q8NHP7,645,500-1000
Q8NHQ1,544,500-1000
Q8NHS9,544,500-1000
Q8NHU2,987,500-1000
Q8NHU6,645,500-1000
Q8NHV4,4300,>1000
Q8NHW4,18,<100
Q8NHY0,645,500-1000
Q8NHY2,1714,>1000
Q8NI08,645,500-1000
Q8NI17,645,500-1000
Q8NI22,810,500-1000
Q8NI35,645,500-1000
Q8NI38,645,500-1000
Q8NI51,332,100-500
Q8NI60,544,500-1000
Q8TAA3,645,500-1000
Q8TAB3,544,500-1000
Q8TAC9,1488,>1000
Q8TAD4,987,500-1000
Q8TAF3,1488,>1000
Q8TAM2,987,500-1000
Q8TAP4,680,500-1000
Q8TAP6,987,500-1000
Q8TAQ2,810,500-1000
Q8TAQ9,332,100-500
Q8TAS1,645,500-1000
Q8TAV0,886,500-1000
Q8TAX9,645,500-1000
Q8TB03,454,100-500
Q8TB22,645,500-1000
Q8TB61,987,500-1000
Q8TB72,4300,>1000
Q8TB92,1488,>1000
Q8TBB0,680,500-1000
Q8TBB5,886,500-1000
Q8TBC5,93,<100
Q8TBE0,987,500-1000
Q8TBF2,168,100-500
Q8TBG4,645,500-1000
Q8TBM7,544,500-1000
Q8TBP0,645,500-1000
Q8TBX8,680,500-1000
Q8TBY0,544,500-1000
Q8TBY8,680,500-1000
Q8TBY9,987,500-1000
Q8TBZ3,1488,>1000
Q8TC05,544,500-1000
Q8TC07,645,500-1000
Q8TC12,544,500-1000
